PARCEL ID,PROPERTY ADDRESS,USE CODE,STYLE,YEAR BUILT,"LIVING AREA 
SQFT","LAND 
ACREAGE","FY25 ASSESSED 
VALUE",SALE PRICE,SALE DATE,VILLAGE
020-056,179 LEWIS POND ROAD,1010,Ranch,1971,1380,0.75,"$           910,500.00","$        855,000.00",05/24/2023,COTUIT
021-045,7 OXFORD DRIVE,1010,Cape Cod,1986,2977,0.46,"$           932,100.00","$        950,000.00",06/02/2023,COTUIT
022-003,95 OLD KINGS ROAD,1010,Ranch,1951,1072,0.63,"$           501,400.00","$        612,000.00",12/05/2023,COTUIT
022-045,52 RALYN ROAD,1010,Ranch,1974,1348,0.49,"$           569,700.00","$        550,500.00",07/26/2023,COTUIT
022-097,80 OLD KINGS ROAD,1010,Cape Cod,1996,2795,0.8,"$           992,800.00","$     1,100,000.00",12/07/2023,COTUIT
022-136,481 MAIN STREET (COTUIT),1010,Colonial,1984,2540,1,"$        1,000,400.00","$        950,000.00",02/08/2023,COTUIT
023-010,120 MAIN STREET (COTUIT),1010,Ranch,1945,1096,1.33,"$           545,000.00","$        675,000.00",09/18/2023,COTUIT
024-047,73 CURLEW WAY,1010,Ranch,1983,1216,0.46,"$           585,400.00","$        715,000.00",09/26/2023,COTUIT
024-105,86 MOORING DRIVE,1010,Ranch,1980,1428,0.46,"$           526,400.00","$        589,000.00",12/14/2023,COTUIT
024-157,4631 FALMOUTH ROAD/RTE 28,3260,Restaurant,1790,4443,2.28,"$        1,263,200.00","$     1,300,000.00",05/12/2022,COTUIT
025-001,1519 SANTUIT-NEWTOWN ROAD,1010,Ranch,1967,1417,1.15,"$           516,600.00","$        535,000.00",03/31/2023,COTUIT
025-007-008,71 FOREST HILLS ROAD,1010,Ranch,1999,2162,0.3,"$           883,100.00","$        910,000.00",07/27/2023,COTUIT
025-007-017,140 FOREST HILLS ROAD,1010,Cape Cod,2001,2245,0.28,"$           866,500.00","$        999,999.00",08/29/2023,COTUIT
025-031,217 SANDALWOOD DRIVE,1010,Cape Cod,1977,944,0.46,"$           502,600.00","$        517,000.00",11/06/2023,COTUIT
FISCAL YEAR 2025 COMPARABLE SALES LISTINGS,,,,,,,,,,
PARCEL ID,PROPERTY ADDRESS,USE CODE,STYLE,YEAR BUILT,"LIVING AREA 
SQFT","LAND 
ACREAGE","FY25 ASSESSED 
VALUE",SALE PRICE,SALE DATE,VILLAGE
026-003,60 BRITTANY DRIVE,1010,Colonial,2004,2821,1,"$           927,800.00","$        910,000.00",05/04/2023,COTUIT
026-027,1090 SANTUIT-NEWTOWN ROAD,1010,Ranch,1972,1656,0.47,"$           561,100.00","$        480,000.00",12/22/2023,COTUIT
027-069,7 KIMBERLY WAY,1010,Ranch,1984,1152,0.46,"$           486,300.00","$        523,500.00",05/31/2023,COTUIT
027-125,144 DEBBIES LANE,1010,Cape Cod,1987,1892,0.77,"$           644,400.00","$        610,000.00",04/05/2023,COTUIT
033-022-003,1360 MAIN STREET (COTUIT),1010,Cape Cod,1940,3044,1.57,"$        3,774,658.00","$     3,900,000.00",02/28/2023,COTUIT
033-033,1180 MAIN STREET (COTUIT),1010,Colonial,1960,2067,0.28,"$        1,625,500.00","$     1,450,000.00",12/07/2023,COTUIT
034-032,978 MAIN STREET (COTUIT),1010,Modern/Contemp,1993,4062,0.25,"$        3,411,500.00","$     4,560,000.00",08/23/2023,COTUIT
035-070,820 MAIN STREET (COTUIT),1010,Cape Cod,1940,2760,0.67,"$        1,679,800.00","$     1,700,000.00",08/31/2023,COTUIT
035-101,33 OYSTER PLACE ROAD,1010,Conventional,1979,2128,0.33,"$        1,932,500.00","$     2,240,000.00",08/31/2023,COTUIT
036-015-005,675 MAIN STREET (COTUIT) #C1,1020,Condominium,2016,1548,0,"$           657,700.00","$        695,000.00",04/07/2023,COTUIT
036-015-006,675 MAIN STREET (COTUIT) #C2,1020,Condominium,2016,1548,0,"$           643,000.00","$        699,000.00",03/15/2023,COTUIT
036-040-004,0 PUTNAM AVENUE,1300,Vacant Land,0,0,2.21,"$           713,700.00","$        750,000.00",08/22/2023,COTUIT
036-040-005,0 PUTNAM AVENUE,1300,Vacant Land,0,0,2.64,"$           798,900.00","$        750,000.00",08/22/2023,COTUIT
038-061,31 CAP'N CARLETON'S RD,1010,Raised Ranch,1995,1768,0.83,"$           811,900.00","$        840,000.00",03/15/2023,COTUIT
039-047,46 PENELOPE LANE,1010,Ranch,1983,1168,0.49,"$           498,600.00","$        500,000.00",03/08/2023,COTUIT
039-097,20 EISENHOWER DRIVE,1010,Ranch,1981,1144,0.78,"$           558,400.00","$        550,000.00",02/23/2023,COTUIT
039-100,64 EISENHOWER DRIVE,1010,Ranch,1985,1448,0.45,"$           614,300.00","$        665,000.00",11/16/2023,COTUIT
040-098,29 BUTTERNUT CIRCLE,1010,Ranch,1984,1260,0.59,"$           521,400.00","$        540,000.00",05/12/2023,COTUIT
040-101,14 BUTTERNUT CIRCLE,1010,Ranch,1984,1196,0.57,"$           494,300.00","$        549,900.00",06/13/2023,COTUIT
040-136,86 JILLIANNS WAY,1010,Cape Cod,1999,2079,0.54,"$           804,900.00","$        890,000.00",04/14/2023,COTUIT
055-039,508 COTUIT BAY DRIVE,1010,Ranch,1979,2601,0.67,"$        1,147,700.00","$     1,300,000.00",10/31/2023,COTUIT
055-043,538 COTUIT BAY DRIVE,1010,Colonial,1984,3313,0.99,"$        1,041,800.00","$        925,000.00",11/01/2023,COTUIT
056-017,200 COTUIT BAY DRIVE,1010,Cape Cod,1977,2366,0.76,"$           991,700.00","$     1,055,000.00",06/16/2023,COTUIT
056-021,120 COTUIT BAY DRIVE,1010,Modern/Contemp,1986,2598,0.71,"$        1,007,500.00","$     1,195,000.00",04/28/2023,COTUIT
245-136,264 FIFTH AVENUE (HYANNIS),1010,Ranch,1940,1955,1.66,"$        2,407,300.00","$     2,300,000.00",03/28/2023,HYAN
246-094,95 THIRD AVENUE (HYANNIS),1010,Colonial,2005,3436,0.37,"$        1,788,900.00","$     1,837,000.00",01/31/2023,HYAN
246-110,28 FOURTH AVENUE (HYANNIS),1010,Ranch,1950,830,0.18,"$           378,100.00","$        450,000.00",05/16/2023,HYAN
247-178,128 RUDDER ROAD,1010,Ranch,1972,960,0.23,"$           389,700.00","$        434,000.00",12/19/2023,HYAN
248-094,104 CARLOTTA AVENUE,1010,Cape Cod,1970,1774,0.24,"$           572,500.00","$        531,850.00",02/23/2023,HYAN
248-095,94 CARLOTTA AVENUE,1010,Ranch,1968,1116,0.24,"$           462,800.00","$        513,000.00",01/13/2023,HYAN
248-109,36 ELAINE ROAD,1010,Ranch,1965,1421,0.24,"$           537,800.00","$        590,000.00",10/31/2023,HYAN
248-302,38 LINDA LANE,1010,Cape Cod,1978,1749,0.25,"$           617,300.00","$        699,000.00",03/17/2023,HYAN
249-031-00H,855 WEST MAIN STREET,102U,Condominium,1973,600,0,"$           207,000.00","$        226,000.00",08/07/2023,HYAN
249-031-00J,855 WEST MAIN STREET,102U,Condominium,1972,600,0,"$           207,100.00","$        220,000.00",11/17/2023,HYAN
FISCAL YEAR 2025 COMPARABLE SALES LISTINGS,,,,,,,,,,
PARCEL ID,PROPERTY ADDRESS,USE CODE,STYLE,YEAR BUILT,"LIVING AREA 
SQFT","LAND 
ACREAGE","FY25 ASSESSED 
VALUE",SALE PRICE,SALE DATE,VILLAGE
249-031-00P,855 WEST MAIN STREET,102U,Condominium,1973,840,0,"$           275,800.00","$        284,000.00",08/15/2023,HYAN
249-049-001,765 WEST MAIN STREET,340R,Res Typ Com,1960,1143,0.16,"$           452,300.00","$        470,000.00",05/20/2022,HYAN
249-130,70 OLD STRAWBERRY HILL ROAD,1010,Cape Cod,1971,1778,0.27,"$           564,900.00","$        690,000.00",11/27/2023,HYAN
249-140,30 SEAGATE LANE,1010,Conventional,1930,1176,0.34,"$           395,400.00","$        449,000.00",05/23/2023,HYAN
249-155,715 WEST MAIN STREET,3410,Branch Bank,1983,3574,0.45,"$        1,222,800.00","$     1,300,000.00",07/21/2022,HYAN
250-058,28 VANDERMINT LANE,1010,Ranch,1971,1068,0.34,"$           447,500.00","$        450,400.00",06/27/2023,HYAN
250-068-002,452 BISHOPS TERRACE,1010,Ranch,1988,768,0.14,"$           369,300.00","$        425,000.00",11/08/2023,HYAN
250-090,22 BRIAN LANE,1010,Ranch,1972,1780,0.44,"$           642,000.00","$        550,000.00",05/10/2023,HYAN
251-074,130 LONGVIEW DRIVE,1010,Cape Cod,1978,2204,0.39,"$           691,400.00","$        675,000.00",08/11/2023,HYAN
252-057,990 PHINNEY'S LANE,1010,Ranch,1960,936,0.27,"$           401,800.00","$        385,000.00",05/26/2023,HYAN
253-013-10I,817 OLD STRAWBERRY HILL ROAD,102U,Condominium,1982,704,0,"$           316,500.00","$        350,000.00",06/07/2023,HYAN
266-005,111 OCEAN DRIVE,1010,Cape Cod,2009,2327,0.82,"$        2,041,000.00","$     2,300,000.00",06/16/2023,HYAN
267-003,87 FIRST AVENUE (HYANNIS),1010,Conventional,1933,1919,0.18,"$           654,000.00","$        815,000.00",02/03/2023,HYAN
267-056,48 KENNEDY CIRCLE,1010,Ranch,1974,1176,0.23,"$           517,500.00","$        652,000.00",12/29/2023,HYAN
267-073-00B,272 CRAIGVILLE BEACH ROAD,102U,Condominium,1978,884,0,"$           360,800.00","$        380,000.00",11/01/2023,HYAN
267-120,238 CRAIGVILLE BEACH ROAD #A,1010,Cape Cod,1930,1810,0.28,"$           542,200.00","$        668,000.00",07/28/2023,HYAN
267-152,49 ISALENE STREET,1010,Ranch,1960,1120,0.22,"$           428,900.00","$        495,000.00",07/28/2023,HYAN
267-175,41 OLD SCHOOL HOUSE RD,1010,Colonial,1973,2136,0.37,"$           561,500.00","$        510,000.00",10/18/2023,HYAN
268-084,104 OLD TOWN ROAD,1010,Conventional,1951,1712,0.16,"$           486,300.00","$        550,000.00",10/18/2023,HYAN
268-154,34 SILVER LANE,1010,Ranch,1968,986,0.23,"$           435,200.00","$        500,000.00",12/19/2023,HYAN
268-172,50 STERLING ROAD,1010,Ranch,1968,1239,0.22,"$           487,300.00","$        539,950.00",11/09/2023,HYAN
268-186,151 DOLPHIN LANE,1010,Cape Cod,1969,1545,0.24,"$           499,300.00","$        497,000.00",05/12/2023,HYAN
268-188,246 OLD TOWN ROAD,1010,Ranch,1992,1040,0.23,"$           437,900.00","$        420,000.00",04/11/2023,HYAN
268-275,118 OAKVIEW TERRACE,1010,Cape Cod,1985,1409,0.27,"$           498,700.00","$        505,000.00",06/14/2023,HYAN
269-041,83 LAFRANCE AVENUE,1010,Conventional,1935,1320,0.16,"$           408,100.00","$        480,000.00",07/18/2023,HYAN
269-044,55 LAFRANCE AVENUE,1090,Conventional,1930,1934,0.16,"$           494,600.00","$        600,000.00",06/13/2022,HYAN
269-051-00M,398 WEST MAIN STREET,102U,Condominium,1982,864,0,"$           231,000.00","$        254,000.00",10/30/2023,HYAN
269-051-00N,398 WEST MAIN STREET,102U,Condominium,1982,864,0,"$           231,000.00","$        250,000.00",04/27/2023,HYAN
269-072,41 PONTIAC STREET,1010,Ranch,1940,982,0.35,"$           335,800.00","$        405,000.00",03/15/2023,HYAN
269-100-00A,16 SUOMI ROAD,327O,Retail Condo,1940,1784,0,"$           600,200.00","$        500,000.00",12/06/2023,HYAN
269-113,57 SUOMI ROAD,1010,Ranch,1960,758,0.18,"$           344,700.00","$        425,000.00",03/13/2023,HYAN
269-123,497 WEST MAIN STREET,3222,Dry Cln/Laundr,1974,3452,0.34,"$           575,500.00","$        700,000.00",10/06/2022,HYAN
269-166,417 PITCHER'S WAY,1010,Cape Cod,1967,1346,0.36,"$           458,500.00","$        510,000.00",11/29/2023,HYAN
270-006,195 DUNN'S POND ROAD,1010,Ranch,1950,624,0.67,"$           302,300.00","$        325,000.00",04/28/2023,HYAN
FISCAL YEAR 2025 COMPARABLE SALES LISTINGS,,,,,,,,,,
PARCEL ID,PROPERTY ADDRESS,USE CODE,STYLE,YEAR BUILT,"LIVING AREA 
SQFT","LAND 
ACREAGE","FY25 ASSESSED 
VALUE",SALE PRICE,SALE DATE,VILLAGE
270-021-001,20 DUNN'S POND ROAD,322R,Res Typ Com,1960,616,0.32,"$           323,400.00","$        325,000.00",08/25/2022,HYAN
270-109,223 FAWCETT LANE,1010,Cape Cod,1970,1346,0.23,"$           447,100.00","$        575,000.00",03/08/2023,HYAN
270-230,635 PITCHER'S WAY,1010,Ranch,1977,1056,0.29,"$           404,100.00","$        536,000.00",05/03/2023,HYAN
270-270,68 SEABOARD LANE,1010,Ranch,1981,1368,0.23,"$           609,100.00","$        634,000.00",12/01/2023,HYAN
270-314,154 WOODLAND AVENUE,1010,Ranch,1984,1300,0.34,"$           514,100.00","$        575,000.00",10/20/2023,HYAN
271-041-00L,720 PITCHER'S WAY,102U,Condominium,1988,1057,0,"$           278,000.00","$        260,000.00",01/06/2023,HYAN
271-041-00N,720 PITCHER'S WAY,102U,Condominium,1988,1023,0,"$           292,300.00","$        342,200.00",06/20/2023,HYAN
271-041-00X,720 PITCHER'S WAY,102U,Condominium,1988,1236,0,"$           332,400.00","$        340,000.00",05/25/2023,HYAN
271-041-00Y,720 PITCHER'S WAY,102U,Condominium,1988,1236,0,"$           329,700.00","$        349,000.00",07/11/2023,HYAN
271-041-0AB,720 PITCHER'S WAY,102U,Condominium,1988,1390,0,"$           386,300.00","$        435,000.00",11/30/2023,HYAN
271-043,577 FALMOUTH ROAD/RTE 28,1300,Vacant Land,0,0,1.2,"$           206,100.00","$        240,000.00",05/20/2022,HYAN
271-044,766 PITCHER'S WAY,1010,Ranch,2005,936,0.36,"$           440,000.00","$        450,000.00",10/03/2023,HYAN
271-053,56 ARROWHEAD DRIVE,1010,Ranch,1990,960,0.2,"$           406,300.00","$        435,000.00",05/02/2023,HYAN
271-073,288 LINCOLN ROAD,1010,Cape Cod,1965,1346,0.24,"$           618,700.00","$        667,500.00",09/29/2023,HYAN
271-095,745 FALMOUTH ROAD/RTE 28,3400,Res Typ Com,1935,2687,0.43,"$           481,600.00","$        522,500.00",06/01/2022,HYAN
271-157,102 WINDSHORE DRIVE,1010,Ranch,1978,1056,0.23,"$           402,100.00","$        495,000.00",08/14/2023,HYAN
271-199,94 WAYLAND ROAD,1010,Ranch,1982,912,0.28,"$           432,600.00","$        520,000.00",06/09/2023,HYAN
271-224,131 WAYLAND ROAD,1010,Ranch,1982,1592,0.24,"$           552,500.00","$        550,000.00",05/02/2023,HYAN
271-229,69 WAYLAND ROAD,1010,Ranch,1982,1056,0.35,"$           441,100.00","$        420,000.00",01/13/2023,HYAN
271-231,41 WAYLAND ROAD,1010,Cape Cod,1982,1635,0.25,"$           557,600.00","$        553,000.00",10/10/2023,HYAN
272-005-013,27 KILKORE DRIVE,1010,Cape Cod,1989,1411,0.41,"$           547,900.00","$        600,000.00",05/19/2023,HYAN
272-181,546 LINCOLN ROAD EXTENSION,1010,Cape Cod,1982,1152,0.4,"$           429,400.00","$        529,000.00",03/16/2023,HYAN
272-192,191 WHITEHALL WAY,1010,Cape Cod,1988,1267,0.34,"$           495,300.00","$        590,000.00",09/11/2023,HYAN
272-193-010,201 KILKORE DRIVE,1010,Cape Cod,2000,2092,0.26,"$           751,300.00","$        783,500.00",10/05/2023,HYAN
272-193-014,16 STARBEAM LANE,1010,Ranch,2001,1512,0.19,"$           675,300.00","$        669,000.00",07/06/2023,HYAN
272-193-018,17 STARBEAM LANE,1010,Cape Cod,1999,1584,0.17,"$           575,700.00","$        744,000.00",06/21/2023,HYAN
273-028,270 CASTLEWOOD CIRCLE,1010,Cape Cod,1967,1557,0.2,"$           490,000.00","$        520,000.00",07/07/2023,HYAN
273-066,36 CASTLEWOOD CIRCLE,1010,Ranch,1965,942,0.18,"$           382,700.00","$        428,500.00",03/03/2023,HYAN
273-086-006,14 MYRICA LANE,1010,Ranch,1992,1931,0.31,"$           733,900.00","$        780,000.00",06/15/2023,HYAN
273-110-001,81 STATICE LANE,1010,Ranch,1994,1846,0.36,"$           716,500.00","$        698,000.00",12/13/2023,HYAN
273-122-020,132 SETTLERS LANE,1010,Cape Cod,2019,2255,0.23,"$           854,600.00","$        765,000.00",02/27/2023,HYAN
273-125,949 BEARSE'S WAY,322I,Store,1983,5950,0.83,"$        1,156,500.00","$     1,181,000.00",05/30/2023,HYAN
273-223,122 SUNNY-WOOD DRIVE,1010,Cape Cod,1986,1609,0.34,"$           556,600.00","$        630,000.00",08/21/2023,HYAN
273-245,14 SEAFARER LANE,1010,Cape Cod,1994,1741,0.24,"$           678,900.00","$        595,000.00",02/21/2023,HYAN
FISCAL YEAR 2025 COMPARABLE SALES LISTINGS,,,,,,,,,,
PARCEL ID,PROPERTY ADDRESS,USE CODE,STYLE,YEAR BUILT,"LIVING AREA 
SQFT","LAND 
ACREAGE","FY25 ASSESSED 
VALUE",SALE PRICE,SALE DATE,VILLAGE
273-257,12 SUNBEAM LANE,1010,Ranch,1999,1500,0.17,"$           616,700.00","$        660,000.00",07/14/2023,HYAN
274-014-00A,2 LOUISBURG SQUARE,102U,Condominium,1972,1206,0,"$           336,000.00","$        392,500.00",09/13/2023,HYAN
274-014-00C,4 LOUISBURG SQUARE,102U,Condominium,1972,1224,0,"$           335,100.00","$        280,000.00",09/28/2023,HYAN
274-014-00E,6 CAPTAIN COOK LANE,102U,Condominium,1972,1224,0,"$           382,200.00","$        402,000.00",09/19/2023,HYAN
274-014-0AM,52 CAPTAIN COOK LANE,102U,Condominium,1972,1224,0,"$           383,300.00","$        402,000.00",11/30/2023,HYAN
274-014-0AW,67 CAPTAIN COOK LANE,102U,Condominium,1972,1206,0,"$           330,800.00","$        398,000.00",05/25/2023,HYAN
274-021-00P,1431 IYANNOUGH ROAD/RTE132,102U,Condominium,1976,1019,0,"$           290,700.00","$        275,000.00",07/06/2023,HYAN
274-021-00S,1431 IYANNOUGH ROAD/RTE132,102U,Condominium,1976,690,0,"$           219,300.00","$        247,500.00",06/26/2023,HYAN
286-022,28 MARCHANT AVENUE,1090,Conventional,1924,4857,1.19,"$        4,130,500.00","$     5,000,000.00",11/30/2022,HYAN
287-127,8 NEWTON AVENUE,1090,Gambrel,1911,4911,0.54,"$        4,469,200.00","$     4,200,000.00",01/11/2022,HYAN
287-150,24 OVERLEA ROAD,1010,Ranch,1980,1430,0.48,"$        1,427,600.00","$     1,550,000.00",06/06/2023,HYAN
288-119,7 NOB HILL ROAD,1010,Colonial,2000,2584,0.27,"$        1,679,000.00","$     1,500,000.00",03/27/2023,HYAN
288-130,37 MARSTON AVENUE,1010,Cape Cod,1959,963,0.26,"$           404,600.00","$        550,000.00",06/15/2023,HYAN
288-158,67 FIDDLERS CIRCLE,1010,Ranch,1960,1914,0.37,"$           557,300.00","$        500,000.00",08/31/2023,HYAN
288-180-00O,160 MARSTON AVENUE,102U,Condominium,1957,825,0,"$           620,300.00","$        671,000.00",09/29/2023,HYAN
289-101,65 GREENWOOD AVENUE,1010,Raised Ranch,1983,1248,0.25,"$           537,300.00","$        555,000.00",02/01/2023,HYAN
289-110,35 SCUDDER AVENUE,3000,Hotel,1968,193364,54.54,"$      17,156,000.00","$   11,425,000.00",06/30/2022,HYAN
290-029-00J,100 WEST MAIN STREET,343O,Condo Office,1980,448,0,"$             64,200.00","$          70,000.00",12/14/2022,HYAN
290-038,69 PINE GROVE AVENUE,1010,Conventional,1946,864,0.3,"$           324,200.00","$        350,000.00",08/30/2023,HYAN
290-056,327 MITCHELL'S WAY,1300,Vacant Land,0,0,0.59,"$           148,100.00","$        175,000.00",01/05/2023,HYAN
290-093-20K,24 BETTY'S POND ROAD,102U,Condominium,1981,890,0,"$           252,500.00","$        275,000.00",12/22/2023,HYAN
290-102-00K,135 WEST MAIN STREET,102U,Condominium,1981,936,0,"$           294,000.00","$        364,900.00",04/12/2023,HYAN
290-102-00R,135 WEST MAIN STREET,102U,Condominium,1981,1064,0,"$           303,100.00","$        325,000.00",02/21/2023,HYAN
290-102-00Z,135 WEST MAIN STREET,102U,Condominium,1981,1008,0,"$           263,300.00","$        260,000.00",12/15/2023,HYAN
290-102-0AM,135 WEST MAIN STREET,102U,Condominium,1981,1008,0,"$           263,300.00","$        260,000.00",12/28/2023,HYAN
290-104-0AQ,90 TOWNHOUSE TERRACE,102U,Condominium,1972,1089,0,"$           363,300.00","$        400,000.00",05/18/2023,HYAN
290-104-0CE,8 TOWNHOUSE TERRACE,102U,Condominium,1972,1089,0,"$           377,900.00","$        400,000.00",11/16/2023,HYAN
290-143,194 MITCHELL'S WAY,1010,Ranch,1973,1064,0.23,"$           408,100.00","$        450,000.00",03/03/2023,HYAN
290-173-00D,110 WEST MAIN STREET,102U,Condominium,1980,1102,0,"$           332,400.00","$        340,000.00",06/12/2023,HYAN
291-005,15 PHILLIPS ROAD,1010,Conventional,1930,1121,0.22,"$           385,000.00","$        395,000.00",06/27/2023,HYAN
291-017-012,432 PITCHER'S WAY,1010,Cape Cod,1984,1170,0.27,"$           449,600.00","$        464,900.00",03/24/2023,HYAN
291-070-001,42 MARYALICE LANE,1010,Cape Cod,1993,1994,0.3,"$           675,900.00","$        600,000.00",11/21/2023,HYAN
291-123,47 SUFFOLK AVENUE,1010,Ranch,1965,1864,0.25,"$           580,900.00","$        625,000.00",02/17/2023,HYAN
291-162,89 COUNTY SEAT STREET,1010,Ranch,1972,1545,0.29,"$           495,900.00","$        560,000.00",10/11/2023,HYAN
FISCAL YEAR 2025 COMPARABLE SALES LISTINGS,,,,,,,,,,
PARCEL ID,PROPERTY ADDRESS,USE CODE,STYLE,YEAR BUILT,"LIVING AREA 
SQFT","LAND 
ACREAGE","FY25 ASSESSED 
VALUE",SALE PRICE,SALE DATE,VILLAGE
292-006,460 BEARSE'S WAY,3250,Office/Retail,1971,7960,0.42,"$           687,400.00","$        715,000.00",03/17/2022,HYAN
292-103,13 GENERAL PATTON DRIVE,1010,Ranch,1945,1022,0.18,"$           361,700.00","$        445,000.00",10/20/2023,HYAN
292-120,39 GENERAL PATTON DRIVE,1010,Ranch,1940,846,0.17,"$           305,700.00","$        325,000.00",11/30/2023,HYAN
292-127,14 GENERAL PATTON DRIVE,1010,Ranch,1945,851,0.17,"$           298,400.00","$        385,000.00",11/30/2023,HYAN
292-216,4 THACH LANE,1010,Ranch,1972,1404,0.26,"$           479,600.00","$        395,000.00",05/04/2023,HYAN
292-230,11 ALICIA ROAD,1010,Ranch,1973,1288,0.3,"$           497,000.00","$        499,900.00",01/13/2023,HYAN
292-323,44 UNCLE WILLIES WAY,1010,Ranch,1978,1076,0.24,"$           458,200.00","$        464,900.00",12/15/2023,HYAN
293-004-10P,11 ENTERPRISE ROAD,327O,Retail Condo,1985,1200,0,"$           187,400.00","$        165,000.00",02/25/2022,HYAN
293-021-001,30 ENTERPRISE ROAD,3220,Store,1965,6388,0.7,"$           661,800.00","$        650,000.00",06/21/2023,HYAN
293-026,58 CORPORATION STREET,3250,Warehouse-Wd Frm,1960,18032,1.1,"$        1,989,600.00","$     2,600,000.00",05/06/2022,HYAN
293-033,230 FALMOUTH ROAD/RTE 28,3370,Vacant Land,,,0.83,"$           472,800.00","$        545,000.00",09/07/2022,HYAN
294-061-00H,800 BEARSE'S WAY,102U,Condominium,1974,1144,0,"$           333,100.00","$        325,000.00",04/18/2023,HYAN
294-061-00Y,800 BEARSE'S WAY,102U,Condominium,1974,840,0,"$           252,100.00","$        323,000.00",08/15/2023,HYAN
294-061-0AH,800 BEARSE'S WAY,102U,Condominium,1974,1144,0,"$           333,100.00","$        350,000.00",06/05/2023,HYAN
294-061-0BB,800 BEARSE'S WAY,102U,Condominium,1974,840,0,"$           252,900.00","$        290,000.00",05/08/2023,HYAN
294-061-0CE,800 BEARSE'S WAY,102U,Condominium,1974,840,0,"$           254,400.00","$        270,000.00",02/21/2023,HYAN
294-061-0CJ,800 BEARSE'S WAY,102U,Condominium,1974,1144,0,"$           349,200.00","$        349,900.00",10/05/2023,HYAN
294-061-0DT,800 BEARSE'S WAY,102U,Condominium,1974,1144,0,"$           333,100.00","$        305,000.00",10/23/2023,HYAN
294-061-0FC,800 BEARSE'S WAY,102U,Condominium,1974,840,0,"$           254,400.00","$        333,000.00",10/06/2023,HYAN
294-061-0FH,800 BEARSE'S WAY,102U,Condominium,1974,840,0,"$           264,400.00","$        289,000.00",05/25/2023,HYAN
306-004,17 KEATING ROAD,1010,Saltbox,1914,2084,0.25,"$        1,599,200.00","$     1,600,000.00",02/14/2023,HYAN
306-037,73 NORRIS STREET,1090,Cottage,1950,1032,0.34,"$           499,400.00","$        555,000.00",06/24/2022,HYAN
306-115-18C,230 GOSNOLD STREET,102U,Condominium,1951,277,0,"$           146,300.00","$        160,000.00",08/25/2023,HYAN
306-132,37 CUMNER STREET,1010,Cape Cod,1950,1589,0.28,"$           656,500.00","$        767,500.00",02/10/2023,HYAN
306-144,189 BREAKWATER SHORES DR,1010,Raised Ranch,1966,1975,0.24,"$        1,299,000.00","$     1,275,000.00",12/21/2023,HYAN
306-166-001,74 BREAKWATER SHORES DR,1010,Colonial,1960,2923,0.23,"$        1,130,000.00","$     1,310,000.00",09/22/2023,HYAN
307-041,189 SEABROOK ROAD,1040,Duplex,1967,2056,0.21,"$           450,200.00","$        500,000.00",12/20/2023,HYAN
307-143,138 CHASE STREET,1090,Conventional,1890,3415,0.86,"$           833,100.00","$        865,500.00",04/21/2022,HYAN
307-175,176 OAK NECK ROAD,1010,Ranch,1960,1070,0.19,"$           373,500.00","$        350,000.00",02/24/2023,HYAN
307-212,48 SNOW CREEK DRIVE,1010,Ranch,1973,1024,0.26,"$           440,600.00","$        510,000.00",07/10/2023,HYAN
307-230,56 SEABROOK ROAD,1040,Ranch,1957,863,0.21,"$           439,800.00","$        527,500.00",03/04/2022,HYAN
307-268-00B,94 SEA STREET #B,1020,Condominium,1939,593,0,"$           275,500.00","$        292,000.00",05/24/2023,HYAN
308-004-0AA,320 STEVENS STREET #G3,102U,Condominium,2011,1995,0,"$           559,500.00","$        600,000.00",09/01/2023,HYAN
308-040,81 BASSETT LANE,3222,Res Typ Com,1960,3051,0.32,"$           401,600.00","$        525,000.00",09/22/2023,HYAN
FISCAL YEAR 2025 COMPARABLE SALES LISTINGS,,,,,,,,,,
PARCEL ID,PROPERTY ADDRESS,USE CODE,STYLE,YEAR BUILT,"LIVING AREA 
SQFT","LAND 
ACREAGE","FY25 ASSESSED 
VALUE",SALE PRICE,SALE DATE,VILLAGE
308-041,89 BASSETT LANE,3222,Comm Bldg,1960,2208,0.21,"$           372,700.00","$        375,000.00",03/27/2023,HYAN
308-053,640 MAIN STREET (HYANNIS),031M,Mixed Use,1960,13522,0.58,"$        1,521,700.00","$     1,575,000.00",02/23/2022,HYAN
308-074-00C,548 MAIN STREET (HYANNIS),327O,Retail Condo,1962,1520,0,"$           317,100.00","$        325,000.00",10/07/2022,HYAN
308-074-00I,540 MAIN STREET (HYANNIS),343O,Condo Office,1962,2203,0,"$           463,100.00","$        465,000.00",08/09/2022,HYAN
308-074-00M,540 MAIN STREET (HYANNIS),343O,Condo Office,1962,3050,0,"$           575,500.00","$        760,000.00",11/09/2022,HYAN
308-084,473 MAIN STREET (HYANNIS),3010,Motel,1954,39107,1.98,"$        6,557,100.00","$     7,250,000.00",02/09/2023,HYAN
308-092,497 MAIN STREET (HYANNIS),031M,Mixed Use,1920,4886,0.2,"$           785,600.00","$        900,000.00",11/17/2022,HYAN
308-094,517 MAIN STREET (HYANNIS),031R,Mixed Use,1900,2256,0.07,"$           412,100.00","$        385,000.00",10/13/2023,HYAN
308-103,547 MAIN STREET (HYANNIS),031S,Mixed Use,1950,2112,0.08,"$           360,600.00","$        395,000.00",06/08/2022,HYAN
